Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula
Total_C,Total Cholesterol,mmol/L,Cholesterol,"",Composite,TRUE,23400,23700,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC,VLDL_C + IDL_C + LDL_C + HDL_C
non_HDL_C,Total Cholesterol Minus HDL-C,mmol/L,Cholesterol,"",Composite,TRUE,23401,23701,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + IDL_CE + IDL_FC,Total_C - HDL_C
Remnant_C,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",mmol/L,Cholesterol,"",Composite,TRUE,23402,23702,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC,Total_C - HDL_C - LDL_C
VLDL_C,VLDL Cholesterol,mmol/L,Cholesterol,"",Composite,TRUE,23403,23703,XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC,XXL_VLDL_C + XL_VLDL_C + L_VLDL_C + M_VLDL_C + S_VLDL_C + XS_VLDL_C
Clinical_LDL_C,Clinical LDL Cholesterol,mmol/L,Cholesterol,"",Non-derived,TRUE,23404,23704,"",""
LDL_C,LDL Cholesterol,mmol/L,Cholesterol,"",Composite,TRUE,23405,23705,L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC,L_LDL_C + M_LDL_C + S_LDL_C
HDL_C,HDL Cholesterol,mmol/L,Cholesterol,"",Composite,TRUE,23406,23706,XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC,XL_HDL_C + L_HDL_C + M_HDL_C + S_HDL_C
Total_TG,Total Triglycerides,mmol/L,Triglycerides,"",Composite,TRUE,23407,23707,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG,VLDL_TG + IDL_TG + LDL_TG + HDL_TG
VLDL_TG,Triglycerides in VLDL,mmol/L,Triglycerides,"",Composite,TRUE,23408,23708,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG
LDL_TG,Triglycerides in LDL,mmol/L,Triglycerides,"",Composite,TRUE,23409,23709,L_LDL_TG + M_LDL_TG + S_LDL_TG,L_LDL_TG + M_LDL_TG + S_LDL_TG
HDL_TG,Triglycerides in HDL,mmol/L,Triglycerides,"",Composite,TRUE,23410,23710,XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG,XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG
Total_PL,Total Phospholipids in Lipoprotein Particles,mmol/L,Phospholipids,"",Composite,TRUE,23411,23711,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL + IDL_PL + L_LDL_PL + M_LDL_PL + S_LDL_PL + XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL,VLDL_PL + IDL_PL + LDL_PL + HDL_PL
VLDL_PL,Phospholipids in VLDL,mmol/L,Phospholipids,"",Composite,TRUE,23412,23712,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL
LDL_PL,Phospholipids in LDL,mmol/L,Phospholipids,"",Composite,TRUE,23413,23713,L_LDL_PL + M_LDL_PL + S_LDL_PL,L_LDL_PL + M_LDL_PL + S_LDL_PL
HDL_PL,Phospholipids in HDL,mmol/L,Phospholipids,"",Composite,TRUE,23414,23714,XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL,XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL
Total_CE,Total Esterified Cholesterol,mmol/L,Cholesteryl esters,"",Composite,TRUE,23415,23715,XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE,VLDL_CE + IDL_CE + LDL_CE + HDL_CE
VLDL_CE,Cholesteryl Esters in VLDL,mmol/L,Cholesteryl esters,"",Composite,TRUE,23416,23716,XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE,XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE
LDL_CE,Cholesteryl Esters in LDL,mmol/L,Cholesteryl esters,"",Composite,TRUE,23417,23717,L_LDL_CE + M_LDL_CE + S_LDL_CE,L_LDL_CE + M_LDL_CE + S_LDL_CE
HDL_CE,Cholesteryl Esters in HDL,mmol/L,Cholesteryl esters,"",Composite,TRUE,23418,23718,XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE,XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE
Total_FC,Total Free Cholesterol,mmol/L,Free cholesterol,"",Composite,TRUE,23419,23719,XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC,VLDL_FC + IDL_FC + LDL_FC + HDL_FC
VLDL_FC,Free Cholesterol in VLDL,mmol/L,Free cholesterol,"",Composite,TRUE,23420,23720,XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC,XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC
LDL_FC,Free Cholesterol in LDL,mmol/L,Free cholesterol,"",Composite,TRUE,23421,23721,L_LDL_FC + M_LDL_FC + S_LDL_FC,L_LDL_FC + M_LDL_FC + S_LDL_FC
HDL_FC,Free Cholesterol in HDL,mmol/L,Free cholesterol,"",Composite,TRUE,23422,23722,XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC,XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC
Total_L,Total Lipids in Lipoprotein Particles,mmol/L,Total lipids,"",Composite,TRUE,23423,23723,XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG,VLDL_L + IDL_L + LDL_L + HDL_L
VLDL_L,Total Lipids in VLDL,mmol/L,Total lipids,"",Composite,TRUE,23424,23724,XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG,XXL_VLDL_L + XL_VLDL_L + L_VLDL_L + M_VLDL_L + S_VLDL_L + XS_VLDL_L
LDL_L,Total Lipids in LDL,mmol/L,Total lipids,"",Composite,TRUE,23425,23725,L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG,L_LDL_L + M_LDL_L + S_LDL_L
HDL_L,Total Lipids in HDL,mmol/L,Total lipids,"",Composite,TRUE,23426,23726,XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG,XL_HDL_L + L_HDL_L + M_HDL_L + S_HDL_L
Total_P,Total Concentration of Lipoprotein Particles,mmol/L,Lipoprotein particle concentrations,"",Composite,TRUE,23427,23727,XXL_VLDL_P + XL_VLDL_P + L_VLDL_P + M_VLDL_P + S_VLDL_P + XS_VLDL_P + IDL_P + L_LDL_P + M_LDL_P + S_LDL_P + XL_HDL_P + L_HDL_P + M_HDL_P + S_HDL_P,VLDL_P + IDL_P + LDL_P + HDL_P
VLDL_P,Concentration of VLDL Particles,mmol/L,Lipoprotein particle concentrations,"",Composite,TRUE,23428,23728,XXL_VLDL_P + XL_VLDL_P + L_VLDL_P + M_VLDL_P + S_VLDL_P + XS_VLDL_P,XXL_VLDL_P + XL_VLDL_P + L_VLDL_P + M_VLDL_P + S_VLDL_P + XS_VLDL_P
LDL_P,Concentration of LDL Particles,mmol/L,Lipoprotein particle concentrations,"",Composite,TRUE,23429,23729,L_LDL_P + M_LDL_P + S_LDL_P,L_LDL_P + M_LDL_P + S_LDL_P
HDL_P,Concentration of HDL Particles,mmol/L,Lipoprotein particle concentrations,"",Composite,TRUE,23430,23730,XL_HDL_P + L_HDL_P + M_HDL_P + S_HDL_P,XL_HDL_P + L_HDL_P + M_HDL_P + S_HDL_P
VLDL_size,Average Diameter for VLDL Particles,nm,Lipoprotein particle sizes,"",Non-derived,TRUE,23431,23731,"",""
LDL_size,Average Diameter for LDL Particles,nm,Lipoprotein particle sizes,"",Non-derived,TRUE,23432,23732,"",""
HDL_size,Average Diameter for HDL Particles,nm,Lipoprotein particle sizes,"",Non-derived,TRUE,23433,23733,"",""
Phosphoglyc,Phosphoglycerides,mmol/L,Other lipids,"",Non-derived,TRUE,23434,23734,"",""
TG_by_PG,Triglycerides to Phosphoglycerides ratio,ratio,Other lipids,"",Ratio,TRUE,23435,23735,(XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG) / Phosphoglyc,Total_TG / Phosphoglyc
Cholines,Total Cholines,mmol/L,Other lipids,"",Non-derived,TRUE,23436,23736,"",""
Phosphatidylc,Phosphatidylcholines,mmol/L,Other lipids,"",Non-derived,TRUE,23437,23737,"",""
Sphingomyelins,Sphingomyelins,mmol/L,Other lipids,"",Non-derived,TRUE,23438,23738,"",""
ApoB,Apolipoprotein B,g/l,Apolipoproteins,"",Non-derived,TRUE,23439,23739,"",""
ApoA1,Apolipoprotein A1,g/l,Apolipoproteins,"",Non-derived,TRUE,23440,23740,"",""
ApoB_by_ApoA1,Apolipoprotein B to Apolipoprotein A1 ratio,ratio,Apolipoproteins,"",Ratio,TRUE,23441,23741,ApoB / ApoA1,ApoB / ApoA1
Total_FA,Total Fatty Acids,mmol/L,Fatty acids,"",Composite,TRUE,23442,23742,Omega_3 + Omega_6 + MUFA + SFA,PUFA + MUFA + SFA
Unsaturation,Degree of Unsaturation,degree,Fatty acids,"",Non-derived,TRUE,23443,23743,"",""
Omega_3,Omega-3 Fatty Acids,mmol/L,Fatty acids,"",Non-derived,TRUE,23444,23744,"",""
Omega_6,Omega-6 Fatty Acids,mmol/L,Fatty acids,"",Non-derived,TRUE,23445,23745,"",""
PUFA,Polyunsaturated Fatty Acids,mmol/L,Fatty acids,"",Composite,TRUE,23446,23746,Omega_3 + Omega_6,Omega_3 + Omega_6
MUFA,Monounsaturated Fatty Acids,mmol/L,Fatty acids,"",Non-derived,TRUE,23447,23747,"",""
SFA,Saturated Fatty Acids,mmol/L,Fatty acids,"",Non-derived,TRUE,23448,23748,"",""
LA,Linoleic Acid,mmol/L,Fatty acids,"",Non-derived,TRUE,23449,23749,"",""
DHA,Docosahexaenoic Acid,mmol/L,Fatty acids,"",Non-derived,TRUE,23450,23750,"",""
Omega_3_pct,Omega-3 Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23451,23751,Omega_3 / (Omega_3 + Omega_6 + MUFA + SFA) * 100,Omega_3 / Total_FA * 100
Omega_6_pct,Omega-6 Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23452,23752,Omega_6 / (Omega_3 + Omega_6 + MUFA + SFA) * 100,Omega_6 / Total_FA * 100
PUFA_pct,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23453,23753,(Omega_3 + Omega_6) / (Omega_3 + Omega_6 + MUFA + SFA) * 100,PUFA / Total_FA * 100
MUFA_pct,Monounsaturated Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23454,23754,MUFA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,MUFA / Total_FA * 100
SFA_pct,Saturated Fatty Acids to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23455,23755,SFA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,SFA / Total_FA * 100
LA_pct,Linoleic Acid to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23456,23756,LA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,LA / Total_FA * 100
DHA_pct,Docosahexaenoic Acid to Total Fatty Acids percentage,%,Fatty acids,Fatty acid ratios,Percentage,TRUE,23457,23757,DHA / (Omega_3 + Omega_6 + MUFA + SFA) * 100,DHA / Total_FA * 100
PUFA_by_MUFA,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,ratio,Fatty acids,Fatty acid ratios,Ratio,TRUE,23458,23758,(Omega_3 + Omega_6) / MUFA,PUFA / MUFA
Omega_6_by_Omega_3,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio,ratio,Fatty acids,Fatty acid ratios,Ratio,TRUE,23459,23759,Omega_6 / Omega_3,Omega_6 / Omega_3
Ala,Alanine,mmol/L,Amino acids,"",Non-derived,TRUE,23460,23760,"",""
Gln,Glutamine,mmol/L,Amino acids,"",Non-derived,TRUE,23461,23761,"",""
Gly,Glycine,mmol/L,Amino acids,"",Non-derived,TRUE,23462,23762,"",""
His,Histidine,mmol/L,Amino acids,"",Non-derived,TRUE,23463,23763,"",""
Total_BCAA,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),mmol/L,Amino acids,Branched-chain amino acids,Composite,TRUE,23464,23764,Leu + Ile + Val,Leu + Ile + Val
Ile,Isoleucine,mmol/L,Amino acids,Branched-chain amino acids,Non-derived,TRUE,23465,23765,"",""
Leu,Leucine,mmol/L,Amino acids,Branched-chain amino acids,Non-derived,TRUE,23466,23766,"",""
Val,Valine,mmol/L,Amino acids,Branched-chain amino acids,Non-derived,TRUE,23467,23767,"",""
Phe,Phenylalanine,mmol/L,Amino acids,Aromatic amino acids,Non-derived,TRUE,23468,23768,"",""
Tyr,Tyrosine,mmol/L,Amino acids,Aromatic amino acids,Non-derived,TRUE,23469,23769,"",""
Glucose,Glucose,mmol/L,Glycolysis related metabolites,"",Non-derived,TRUE,23470,23770,"",""
Lactate,Lactate,mmol/L,Glycolysis related metabolites,"",Non-derived,TRUE,23471,23771,"",""
Pyruvate,Pyruvate,mmol/L,Glycolysis related metabolites,"",Non-derived,TRUE,23472,23772,"",""
Citrate,Citrate,mmol/L,Glycolysis related metabolites,"",Non-derived,TRUE,23473,23773,"",""
bOHbutyrate,3-Hydroxybutyrate,mmol/L,Ketone bodies,"",Non-derived,TRUE,23474,23774,"",""
Acetate,Acetate,mmol/L,Ketone bodies,"",Non-derived,TRUE,23475,23775,"",""
Acetoacetate,Acetoacetate,mmol/L,Ketone bodies,"",Non-derived,TRUE,23476,23776,"",""
Acetone,Acetone,mmol/L,Ketone bodies,"",Non-derived,TRUE,23477,23777,"",""
Creatinine,Creatinine,mmol/L,Fluid balance,"",Non-derived,TRUE,23478,23778,"",""
Albumin,Albumin,g/l,Fluid balance,"",Non-derived,TRUE,23479,23779,"",""
GlycA,Glycoprotein Acetyls,mmol/L,Inflammation,"",Non-derived,TRUE,23480,23780,"",""
XXL_VLDL_P,Concentration of Chylomicrons and Extremely Large VLDL Particles,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23481,23781,"",""
XXL_VLDL_L,Total Lipids in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Composite,TRUE,23482,23782,XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG,XXL_VLDL_C + XXL_VLDL_PL + XXL_VLDL_TG
XXL_VLDL_PL,Phospholipids in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23483,23783,"",""
XXL_VLDL_C,Cholesterol in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Composite,TRUE,23484,23784,XXL_VLDL_CE + XXL_VLDL_FC,XXL_VLDL_CE + XXL_VLDL_FC
XXL_VLDL_CE,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23485,23785,"",""
XXL_VLDL_FC,Free Cholesterol in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23486,23786,"",""
XXL_VLDL_TG,Triglycerides in Chylomicrons and Extremely Large VLDL,mmol/L,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Non-derived,TRUE,23487,23787,"",""
XL_VLDL_P,Concentration of Very Large VLDL Particles,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23488,23788,"",""
XL_VLDL_L,Total Lipids in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Composite,TRUE,23489,23789,XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG,XL_VLDL_C + XL_VLDL_PL + XL_VLDL_TG
XL_VLDL_PL,Phospholipids in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23490,23790,"",""
XL_VLDL_C,Cholesterol in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Composite,TRUE,23491,23791,XL_VLDL_CE + XL_VLDL_FC,XL_VLDL_CE + XL_VLDL_FC
XL_VLDL_CE,Cholesteryl Esters in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23492,23792,"",""
XL_VLDL_FC,Free Cholesterol in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23493,23793,"",""
XL_VLDL_TG,Triglycerides in Very Large VLDL,mmol/L,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Non-derived,TRUE,23494,23794,"",""
L_VLDL_P,Concentration of Large VLDL Particles,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23495,23795,"",""
L_VLDL_L,Total Lipids in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Composite,TRUE,23496,23796,L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG,L_VLDL_C + L_VLDL_PL + L_VLDL_TG
L_VLDL_PL,Phospholipids in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23497,23797,"",""
L_VLDL_C,Cholesterol in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Composite,TRUE,23498,23798,L_VLDL_CE + L_VLDL_FC,L_VLDL_CE + L_VLDL_FC
L_VLDL_CE,Cholesteryl Esters in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23499,23799,"",""
L_VLDL_FC,Free Cholesterol in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23500,23800,"",""
L_VLDL_TG,Triglycerides in Large VLDL,mmol/L,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Non-derived,TRUE,23501,23801,"",""
M_VLDL_P,Concentration of Medium VLDL Particles,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23502,23802,"",""
M_VLDL_L,Total Lipids in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Composite,TRUE,23503,23803,M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG,M_VLDL_C + M_VLDL_PL + M_VLDL_TG
M_VLDL_PL,Phospholipids in Medium VLDL,mmol/L,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Non-derived,TRUE,23504,23804,"",""
